number,created_at,closed_at,merged_at,user,state,comments
6090,2026-01-21 18:05:40+00:00,2026-01-21 18:47:26+00:00,2026-01-21 18:47:26+00:00,jonchurch,closed,1
6089,2026-01-21 17:24:23+00:00,2026-01-21 17:26:01+00:00,2026-01-21 17:26:01+00:00,jdalton,closed,1
6088,2026-01-21 17:14:18+00:00,2026-01-21 17:21:04+00:00,2026-01-21 17:21:04+00:00,jdalton,closed,1
6087,2026-01-21 17:07:37+00:00,2026-01-21 17:09:07+00:00,2026-01-21 17:09:07+00:00,jdalton,closed,1
6086,2026-01-21 16:57:10+00:00,2026-01-21 16:58:09+00:00,2026-01-21 16:58:09+00:00,jdalton,closed,0
6083,2026-01-18 03:36:44+00:00,2026-01-18 09:26:59+00:00,,sneha0410-debug,closed,0
6081,2026-01-11 18:19:46+00:00,2026-01-11 19:24:52+00:00,,bradvogel,closed,3
6080,2026-01-08 12:06:21+00:00,,,alan-srivastava,open,0
6079,2026-01-06 23:42:40+00:00,,,Ayoub-Mabrouk,open,0
6078,2026-01-05 01:13:35+00:00,,,scrrlt,open,0
6077,2026-01-04 22:46:48+00:00,,,banjoadeola17,open,1
6076,2026-01-04 08:03:54+00:00,2026-01-04 08:59:48+00:00,,scrrlt,closed,1
6075,2026-01-04 07:53:53+00:00,2026-01-04 08:01:56+00:00,,scrrlt,closed,0
6074,2026-01-04 07:22:17+00:00,2026-01-04 07:35:56+00:00,,scrrlt,closed,0
6073,2026-01-03 23:04:57+00:00,,,banjoadeola17,open,3
6072,2025-12-20 07:49:27+00:00,,,VB5475,open,0
6071,2025-12-18 20:47:26+00:00,2025-12-18 22:52:05+00:00,2025-12-18 22:52:05+00:00,jonchurch,closed,0
6069,2025-12-17 21:41:47+00:00,2026-01-21 16:42:49+00:00,2026-01-21 16:42:49+00:00,jdalton,closed,5
6068,2025-12-17 15:27:47+00:00,2026-01-21 16:53:53+00:00,2026-01-21 16:53:53+00:00,jdalton,closed,2
6067,2025-12-16 17:14:44+00:00,2025-12-17 03:25:23+00:00,2025-12-17 03:25:23+00:00,jdalton,closed,0
6066,2025-12-16 16:49:49+00:00,2025-12-16 16:51:48+00:00,2025-12-16 16:51:48+00:00,jdalton,closed,0
6065,2025-12-10 01:56:14+00:00,2025-12-10 12:53:09+00:00,2025-12-10 12:53:09+00:00,jdalton,closed,0
6064,2025-12-10 01:56:02+00:00,2025-12-10 22:03:07+00:00,2025-12-10 22:03:07+00:00,jdalton,closed,1
6063,2025-12-10 01:55:50+00:00,2025-12-10 12:52:49+00:00,2025-12-10 12:52:48+00:00,jdalton,closed,0
6062,2025-12-09 12:06:22+00:00,2025-12-18 21:12:55+00:00,2025-12-18 21:12:55+00:00,mughees-raza,closed,0
6060,2025-12-04 17:34:30+00:00,,,gitxpriyanshu,open,0
6059,2025-12-04 17:02:52+00:00,,,Anirudh-020505,open,1
6058,2025-12-03 18:40:28+00:00,,,theaniketgiri,open,0
6056,2025-12-02 20:30:13+00:00,2025-12-04 19:28:43+00:00,2025-12-04 19:28:43+00:00,jonchurch,closed,2
6053,2025-11-18 19:00:25+00:00,2025-11-19 12:38:23+00:00,2025-11-19 12:38:23+00:00,UlisesGascon,closed,0
6052,2025-11-18 18:56:31+00:00,2025-11-19 12:37:32+00:00,2025-11-19 12:37:32+00:00,UlisesGascon,closed,0
6049,2025-11-16 13:56:23+00:00,2025-11-17 09:22:08+00:00,,falsyvalues,closed,3
6045,2025-11-11 07:24:06+00:00,,,sapbotgit,open,0
6042,2025-11-10 17:36:02+00:00,2025-11-15 21:55:11+00:00,,shibadityadeb,closed,1
6039,2025-11-07 14:47:25+00:00,2025-11-16 21:18:32+00:00,2025-11-16 21:18:32+00:00,UlisesGascon,closed,0
6036,2025-10-28 23:39:36+00:00,2025-11-04 16:15:25+00:00,2025-11-04 16:15:25+00:00,tobie,closed,0
6035,2025-10-28 16:20:28+00:00,2025-11-04 18:06:09+00:00,2025-11-04 18:06:09+00:00,bensternthal,closed,1
